Title C de,Title Name (English),Hindi Title,Register Serial No,Regn. No,Owner Name,State,Publication City/District,Periodicity
MAHMAR17374,MAHARASHTRACHA BULAND AVAJ LOKSHAHI TIMES,,49978.0,49978/ 91,PRADIP SANTOSH BARDO,MAH,PUNE,D
MAHBIL10444,UJJANI TIMES,,,,SUDHAKAR TUKARAM BORATE,MAH,PUNE,D
MAHENG14362,HINDUSTAN TIMES,,145566.0,MAHENG/2017/73011,HT MEDIA LTD,MAH,PUNE,D
MAHMAR52756,VISHWAVEDH TIMES,,,,SHUBHAM SAMBHAJI GARUD,MAH,PUNE,D
MAHENG13569,PUNE TIMES MIRROR,,128085.0,MAHENG/2014/55530,LEXICON MEDIA PVT. LTD.,MAH,PUNE,D
MAHBIL01962,MERA BHARAT TIMES,,71505.0,71505/ 93,SHAIKH AYUB M. KADRI,MAH,PUNE,D
MAHENG10426,SAKAAL TIMES,,97241.0,MAHENG/2008/24684,SAKAL MEDIA PVT. LTD.,MAH,PUNE,D
MAHMAR49221,WAGHOLI TIMES,वाघोली टाइम्स,149000.0,MAHMAR/2018/76445,CHETAN NARAYAN DIGHE,MAH,PUNE,DE
MAHBIL06577,NAGAR ROAD TIMES,,120243.0,MAHBIL/2012/47686,DUBEY HARI OM BHAJAN LAL,MAH,PUNE,DE
MAHMAR20504,MARATHI VYASPITH INDIAN TIMES,,77004.0,MAHMAR/2001/04447,MOTISINGH H.THAKUR,MAH,PUNE,F
MAHBIL02952,RAJNEESH TIMES,,39956.0,39956/ 83,SHRI RAJNEESHDHAM TRUST,MAH,PUNE,F
MAHMAR43596,NAGARSEWA TIMES,नगरसेवा टाइम्स,132448.0,MAHMAR/2014/59893,SHIVRAM IRAPPA KAMBLE,MAH,PUNE,F
MAHBIL09775,HINJAWADI TIMES,,140037.0,MAHBIL/2016/67482,VIJAY BABANRAO VARKHADE,MAH,PUNE,F
MAHENG02765,OSHO TIMES INTERNATIONAL,,46951.0,46951/ 88,TAO PUBLISHING PVT. LTD.,MAH,PUNE,F
MAHMUL01615,HEALTH-AWARENESS TIMES,,78549.0,,RESPI CARE PVT.LTD.,MAH,PUNE,F
MAHMAR47031,TEJ NEWS TIMES,तेज न्यूज़ टाइम्स,143729.0,MAHMAR/2016/71174,SARIPUT DHANANJAY KAMBALE,MAH,PUNE,M
MAHMAR43574,PRASAR TIMES,प्रसार टाइम्स,131939.0,MAHMAR/2014/59384,KANADE VAIJANATH SHIVLING,MAH,PUNE,M
MAHMAR45716,BAVDHAN TIMES,बावधन टाईम्स,134518.0,MAHMAR/2015/61963,GORKH RAOSAHEB DAGADE,MAH,PUNE,M
MAHMAR17947,THE VAISHNO TIMES,,71544.0,71544/ 99,BALASAHEB D.JAMDAR,MAH,PUNE,M
MAHMAR12475,SHIKSHAH TIMES,,59901.0,59901/ 95,NARAIN SHRIPAD VAIDYA,MAH,PUNE,M
MAHMAR46443,RAJPATH CAREER TIMES,राजपथ करिअर टाईम्स,137012.0,MAHMAR/2015/64457,MEETA CHAUDHARI,MAH,PUNE,M
MAHENG07019,OSHO TIMES,,73240.0,MAHENG/1999/00683,TAO PUBLISHING PVT LTD.,MAH,PUNE,M
MAHBIL07196,THE HOLA MOHALLA TIMES,,141463.0,MAHBIL/2016/68908,JASPAL SINGH AIDHEN,MAH,PUNE,M
MAHBIL03084,SUPER JUNIOR TIMES,,72617.0,MAHBIL/1999/00060,SANTOSH YESHWANT PAI,MAH,PUNE,M
MAHMAR42691,BHARAT MALI TIMES,भारत माली टाइम्स,136443.0,MAHMAR/2015/63888,AKHIL BHARTIYA MALI SHIKSHAN SANSTHA,MAH,PUNE,M
MAHMAR48072,SAJAG TIMES NEWS,,,UR,YUVA SHAKTI FOUNDATION,MAH,PUNE,OP
MAHMAR40238,PARVATI TIMES,,113288.0,MAHMAR/2011/40731,SHINDE SAJAY LAXMAN,MAH,PUNE,W
MAHMAR37548,PUNE CANTONMENT TIMES,पुणे कैंटोनमेंट टाइम्स,107034.0,MAHMAR/2010/34477,ARUN NARAYAN BHALERAO,MAH,PUNE,W
MAHENG13653,SUNDAY PUNE TIMES MIRROR,,129774.0,MAHENG/2014/57219,LEXICON MEDIA PVT. LTD.,MAH,PUNE,W
MAHMAR17362,LONAVLA TIMES,,35786.0,35786/ 79,VASUDEV MOTIRAM BANDEKAR,MAH,PUNE,W
MAHMAR52188,INDAPUR TIMES,,,,RAKESH SUBHASH KAMBALE,MAH,PUNE,W
MAHENG14363,SUNDAY HINDUSTAN TIMES,,145567.0,MAHENG/2017/73012,HT MEDIA LTD,MAH,PUNE,W
MAHMAR19920,SHIRUR TIMES,,78112.0,MAHMAR/2001/05555,PRASHANT NARAYAN THORAT,MAH,PUNE,W
MAHENG13120,AAGYA TIMES,,119216.0,MAHENG/2012/46659,INDERJIT SINGH AIDHEN,MAH,PUNE,W
MAHMAR41262,SANGEET-KALA TIMES,,120770.0,MAHMAR/2012/48214,ATUL GAJANAN KULKARNI,MAH,PUNE,W
MAHMAR47138,BHIGWAN TIMES,,139374.0,MAHMAR/2016/66819,FIROZ GULABUSEEN KHAN,MAH,PUNE,W
MAHBIL09812,SAJAG NAGRIK TIMES,सजग नागरिक टाइम्स,142319.0,MAHBIL/2016/69764,KHAN MAZHAR NASIR,MAH,PUNE,W
MAHMAR52771,ABHIMAN TIMES,,,,MADHAVI VISHWAS JOSHI,MAH,PUNE,W
MAHMAR52767,SWABHIMANI REPUBLICAN TIMES,,,,RAHUL RAMESH BHALERAO,MAH,PUNE,W
MAHMAR51020,NIRMALA TIMES,,,UR,NIRMALA PRALHAD JOGDAND,MAH,PUNE,W
MAHMAR42875,SAMIKSHA TIMES,,124355.0,MAHMAR/2013/51800,MANISHA SUHAS BANSODE,MAH,PUNE,W
MAHMUL03895,ALFAAZ TIMES,,,UR,RAJEKHAN SHAUKAT PATEL,MAH,PUNE,W
MAHBIL09933,DEHU TIMES,,,UR,KULDEEP DILIP CHAVAN,MAH,PUNE,W
MAHENG14639,AIZAH TIMES,,,,ASHFAQ ISAQ SHAIKH,MAH,PUNE,W
MAHMAR52025,FARM TIMES,,,,RIDDHIMA MEDIA PRIVATE LIMITED,MAH,PUNE,W
MAHMAR51406,JAGTARA TIMES,,155219.0,MAHMAR/2021/82664,AHIRESHWAR JAGANNATH JAGTAP,MAH,PUNE,W
MAHMAR41156,LOK DEEP TIMES,लोक दीप टाइम्स,119937.0,MAHMAR/2012/47380,KOMAL SURESH BHINDE,MAH,PUNE,W
MAHMAR10645,RAYAT TIMES,,67393.0,67393/ 94,MOHAMMED RASHIK SULTAN AHMED,MAH,PUNE,W
MAHMAR47525,THE SHIVAJI TIMES,,141946.0,MAHMAR/2016/69391,KAILASHNIVRUTTIJOGDAND,MAH,PUNE,W
MAHMAR49287,DAUND TIMES,,,UR,SACHIN BABAN ATOLE,MAH,PUNE,W
MAHMAR38831,MAHARAJYA TIMES,महाराज्य टाइम्स,134643.0,MAHMAR/2015/62088,ANAND NARAYAN DHONGADE,MAH,PUNE,W
MAHBIL00715,MILLAT TIMES,,14186.0,14186/ 67,MAJLISE-FALAHA MILLAT,MAH,PUNE,W
MAHMAR45133,AHILYA TIMES,अहिल्या टाईम्स,134073.0,MAHMAR/2015/61518,SONVALKAR RAJENDRA MANOHAR,MAH,PUNE,W
MAHMAR48231,RASHTRA LEKH TIMES,,,UR,SOMNATH PRAKASH TIKOLE,MAH,PUNE,W
MAHENG14672,PRESS INSIDER TIMES,,,,KARTIK ANAND,MAH,PUNE,W
MAHMAR53033,RASHTRAHIT TIMES,,,,ANAND SHIVAJI VAIRAT,MAH,PUNE,W
MAHMAR51425,BEDHADAK TIMES,,160324.0,MAHMAR/2021/87769,KAILAS SHRIHARI SALVE,MAH,PUNE,W
MAHHIN01235,TOOFAN HINDI TIMES,,16804.0,16804/ 68,PARMANAND LEKHRAJ KISHNANI,MAH,PUNE,W
MAHMAR27333,BARAMATI TIMES,बारामती टाईम्स,92194.0,MAHMAR/2005/19637,SALIM GULAMALI SHAIKH,MAH,PUNE,W
MAHBIL06622,MAHAZ TIMES,,121733.0,MAHBIL/2013/49178,SHAIKH MUNAF ABDUL MAJID,MAH,PUNE,W
MAHMAR51982,RATIONAL TIMES,,,,SUNIL CHANDRAKANT SHEVARE,MAH,PUNE,W
MAHMAR52361,JANHAK TIMES,,,,MS ARATI MUKUND BABAR,MAH,PUNE,W
MAHMAR51279,SUYOG TIMES,,155354.0,MAHMAR/2021/82799,ROHAN VASANT GAIKWAD,MAH,PUNE,W
MAHENG12199,DNA TIMES,डीएनए टाइम्स,105059.0,MAHENG/2009/32502,HARI HARDAS GURUSEVADAS BAIRAGI,MAH,PUNE,W
MAHMAR22195,MAVAL TIMES,,79193.0,MAHMAR/2002/06636,CHANDRAKANT BALKRISHNA JOSHI,MAH,PUNE,W
MAHMAR27536,APOLO TIMES,अपोलो टाइम्स,90800.0,MAHMAR/2005/18243,SAMEER PRABHAKAR KHIRID,MAH,PUNE,W
MAHBIL10542,APEX BUSINESS TIMES,,,,RAJESH KISHANCHAND AGARWAL,MAH,PUNE,W
MAHMAR37038,KHED TIMES,KHED TIMES,106890.0,MAHMAR/2010/34333,HOLE ROHIDAS DHAKU,MAH,PUNE,W
MAHENG11305,POONA TIMES,,14046.0,14046/ 67,SHRI PARWANI TEJ,MAH,PUNE,W
MAHMAR48510,NATHPANTHI TIMES,,,UR,SHINDE ANKUSH MARUTI,MAH,PUNE,W
MAHMAR52911,PUNRI LOK TIMES,,,,RAHUL ASHOK BANGUDE,MAH,PUNE,W
MAHMAR33163,RAIGAD TIMES,,108818.0,MAHMAR/2010/36261,RAJAN SHANTARAM VELKAR,MAH,RAIGAD,D
MAHMAR40054,RTI TIMES,,114801.0,MAHMAR/2012/42244,RAJESH SHANKARDAYAL KALWAR,MAH,RAIGAD,F
MAHMAR53155,MAHARASHTRA PUBLIC TIMES,,,,SATISH GEMA RATHOD,MAH,RAIGAD,M
MAHMAR49137,KUNDALIKA TIMES,,,UR,AMOL MADHUKAR PENAKR,MAH,RAIGAD,W
MAHMAR38455,ROHA TIMES,,118525.0,MAHMAR/2012/45968,MANOJ ANANTRAO GHOSALKAR,MAH,RAIGAD,W
MAHMAR20053,SHREEVARDHAN KRANTI TIMES,श्रीवर्धन क्रांति टाइम्स,77291.0,MAHMAR2000/04734,UDAY VITHAL KALAS,MAH,RAIGAD,W
MAHMAR45946,KHARGHAR GREENCITY TIMES,खारघर ग्रीनसिटी टाइम्स,139661.0,MAHMAR/2016/67106,SHEKHAR PICHHAYYA SAPANI,MAH,RAIGAD,W
MAHMAR45958,ALFA TIMES,अल्फा टाइम्स,135461.0,MAHMAR/2015/62906,ASHA D. TAWDE,MAH,RAIGAD,W
MAHMAR48119,SUDHAGAD TIMES,,156993.0,MAHMAR/2023/84438,RAVINDRANATH NIVRUTTIOVHAL,MAH,RAIGAD,W
MAHMAR49320,KONDHANA TIMES,,148537.0,MAHMAR/2018/75982,RAMAKANT BHIKAJI JADHAV,MAH,RAIGAD,W
MAHMAR32734,PEN TIMES,पेन टाइम्स,100626.0,MAHMAR/2009/28069,AJAY MADHUKAR SONAWANE,MAH,RAIGAD,W
MAHMAR43912,PARIVARTAN TIMES,परिवर्तन टाइम्स,132263.0,MAHMAR/2014/59708,SWAPNIL SATISH KADAM,MAH,RAIGAD,W
MAHMAR49973,SARTHAK TIMES,,152102.0,MAHMAR/2020/79547,NITIN KISHOR JOSHI,MAH,RAIGAD,W
MAHMAR51858,PATALGANGA TIMES,,155049.0,MAHMAR/2022/82494,GAUTAM DHONDIBA SONAVANE,MAH,RAIGAD,W
MAHMAR48048,RAJANIWAMAN TIMES,,,UR,SACHIN WAMAN SALUNKE,MAH,RAIGAD,W
MAHBIL10124,VARTMAN TIMES,,,,GULABRAV NAMDEV MOHITE,MAH,RAIGAD,W
MAHMAR50623,DESH VIDESH TIMES,,,,SACHIN WAMAN SALUNKE,MAH,RAIGAD,W
MAHMAR50823,WEEKLY KHOPOLI TIMES,,,,AMIT NARAYAN BHOPATRAO,MAH,RAIGAD,W
MAHMAR19826,PANVEL TIMES,पनवेल टाइम्स,75288.0,MAHMAR/2000/02731,GANESH KOLI,MAH,RAIGAD-ALIBAG,TWW
MAHMAR34494,MAHAD POLADPUR TIMES,महाड पोलादपुर टाइम्स,108305.0,MAHMAR/2009/35748,SEEMA PRAMOD MORE,MAH,RAIGAD-ALIBAG,W
MAHMAR46535,JAMBU DWEEP TIMES,जम्बूद्वीप टाईम्स,150302.0,MAHMAR/2016/77747,SUBHASH RAMCHANDRA GAIKWAD,MAH,RAIGARH,W
MAHMAR46465,AKSHAR BHARAT TIMES,,147471.0,MAHMAR/2017/74916,SHILPA SITARAM THETE,MAH,RAIGARH,W
MAHMAR20263,BHAIRAO TIMES,,76161.0,MAHMAR/2001/03604,BHABUTMAL HIRACHANDJI SHAHA,MAH,RATNAGIRI,D
MAHMAR05050,RATNAGIRI TIMES,,37534.0,37534/ 80,ULHAS PUBLICATIONS PVT. LTD.,MAH,RATNAGIRI,D
MAHMUL03900,RATNADURG TIMES,,,,ANKUSH ASHOK KADAM,MAH,RATNAGIRI,DE
MAHMAR29247,KOKAN TIMES,कोकण टाइम्स,90905.0,MAHMAR/2006/18348,RAKESH PRABHAKAR DESAI,MAH,RATNAGIRI,W
MAHMAR38483,PRAGATI TIMES,,112905.0,MAHMAR/2011/40348,SHRIKRISHNA TUKARAM DEORUKHKAR,MAH,RATNAGIRI,W
MAHMAR08348,CONTROL ROOM TIMES,,54715.0,54715/ 91,RAJESH BHIMASHA MUGALE,MAH,SANGALI,W
MAHMAR45822,SANKET TIMES,संकेत टाइम्स,138577.0,MAHMAR/2015/66022,RAJU TUKARAM MALI (KORE),MAH,SANGLI,D
MAHMAR09414,REMOTE CONTROL TIMES,,54737.0,54737/ 92,RAJESH BHIMASHA MUGALE,MAH,SANGLI,D
MAHMAR47988,SANGLI TIMES,,145093.0,MAHMAR/2016/72538,BARUDWALE SAMIR ILAHI,MAH,SANGLI,F
MAHMAR16227,SUBORDINATE ENGINEERS' TIMES (M.S.E.B.),,68271.0,68271/ 98,SUBORDINATE ENGINEERS ASSOCIATION,MAH,SANGLI,M
MAHMAR24994,J.K.TIMES,,83975.0,MAHMAR/2003/11418,VITHAL BAPU KHOT,MAH,SANGLI,OP
MAHMAR41579,NAVDISHA TIMES,,124232.0,MAHMAR/2012/51677,VITTHALRAJ SOMLING JAKUNE,MAH,SANGLI,W
MAHMAR52398,IRWIN TIMES,,158895.0,MAHMAR/2023/86340,ASAWARI MACCHINDRA AINAPURE,MAH,SANGLI,W
MAHMAR15803,ESPREE TIMES,,67571.0,67571/ 97,SANTOSH MADHUKAR POKARNIKAR,MAH,SANGLI,W
MAHMAR33354,NAVCHAITANYA TIMES,नवचैतन्य टाइम्स,106702.0,MAHMAR/2009/34145,SADASHIV SHIVAPPA MALI,MAH,SANGLI,W
MAHMAR13066,WALWA TIMES,,61812.0,61812/ 95,SANJAY JAGANNATH PATIL,MAH,SANGLI,W
MAHMAR52750,VITA TIMES,,,,OMPRAKASH SAHEBRAO YADAV,MAH,SANGLI,W
MAHMAR08346,INSPECTOR TIMES,,54716.0,54716/ 91,RAJESH BHIMASHA MUGALE,MAH,SANGLI,W
MAHMAR19922,TIRANGA TIMES,,75930.0,MAHMAR/2000/03373,SHIVAJI NARAYAN BHOSLE,MAH,SATARA,D
MAHMAR53055,BANGANGA TIMES,,,,SAVITA VIJAY BHISE,MAH,SATARA,DE
MAHMAR48651,PRADNYADEEP TIMES,,150356.0,MAHMAR/2017/77801,NAGESH VITTHAL NARALE,MAH,SATARA,M
MAHMAR40859,KARAD TIMES,कराड टाइम्स,128994.0,MAHMAR/2013/56439,SHEELA SANJAY PATIL,MAH,SATARA,M
MAHMAR38467,AAPAL DHAIRYA TIMES,,121201.0,MAHMAR/2011/48646,SACHIN SAMPATRAO MORE,MAH,SATARA,W
MAHMAR18412,SHAHUNAGARI TIMES,,74034.0,MAHMAR/1999/01477,SHIVAJI NARAYAN BHOSALE,MAH,SATARA,W
MAHMAR18151,NAV NOKARI TIMES,नव नोकरी टाइम्स,71681.0,71681/ 99,DATTATRAY D. KUMBHAR,MAH,SATARA,W
MAHMAR27269,MASUR TIMES,,87979.0,MAHMAR/2005/15422,ANIL ALIAS ANAND TANAJI JAGDALE (PATIL),MAH,SATARA,W
MAHMAR50530,SATARA TIMES,,152372.0,MAHMAR/2021/79817,SATYANARAYAN HANMANT SHEDGE,MAH,SATARA,W
MAHMAR52194,SEVAGIRI TIMES,,,UR,NITIN VILAS KACHARE,MAH,SATARA,W
MAHMAR40829,ASTHA TIMES,,119520.0,MAHMAR/2012/46963,CHORMALE VAISHALI KRISHANATH,MAH,SATARA,W
MAHMAR45061,NGO TIMES,एनजीओ टाइम्स,132171.0,MAHMAR/2014/59616,KUMBHAR DATTATRAY DHONDIRAM,MAH,SATARA,W
MAHMAR33295,JAVALI TIMES,जवाली टाइम्स,101932.0,MAHMAR/2008/29375,SACHIN RAGHUNATH WARAGADE,MAH,SATARA,W
MAHMAR20334,AKLUJ TIMES,,77264.0,MAHMAR2001/04707,RAJENDRA VITTHAL SURYAVANSHI,MAH,SOLAPUR,D
MAHMAR40889,BURAK TIMES,,117255.0,MAHMAR/2012/44698,IQBAL FAKRODDIN SHAIKH,MAH,SOLAPUR,D
MAHMAR14593,PANDHARPUR TIMES,,66174.0,66174/ 96,BHARAT ANANT DESAI,MAH,SOLAPUR,D
MAHMAR51566,SINHASAN TIMES,,154404.0,MAHMAR/2022/81849,RAJASHREE ABHIRAJ UBALE,MAH,SOLAPUR,D
MAHMAR32417,SOLAPUR TIMES,सोलापूर टाइम्स,103832.0,MAHMAR/2009/31275,AMBADAS BHIVAJI GAIDHANKAR,MAH,SOLAPUR,DE
MAHMAR32903,SAHYADRI TIMES,सह्याद्रि टाइम्स,105102.0,MAHMAR/2010/32545,BATTUL SUDARSHAN RAJARAM,MAH,SOLAPUR,DE
MAHHIN05335,BAGBAN TIMES,बागबान टाइम्‍स,91842.0,MAHHIN/2005/19285,INAMDAR SAYYED GUFRAN,MAH,SOLAPUR,F
MAHBIL06427,TIMES OF ONENESS,,117325.0,MAHBIL/2012/44768,SARWADE JEEVAN SHIVACHARAN,MAH,SOLAPUR,M
MAHMAR45270,PRABUDDHA TIMES,प्रबुद्ध टाइम्स,133251.0,MAHMAR/2015/60696,VISHNU GORAKHNATH GAIKWAD,MAH,SOLAPUR,W
MAHMAR19972,VITHAL TIMES,,77982.0,MAHMAR/2001/05425,GAUTAM MAHADEV JADHAV,MAH,SOLAPUR,W
MAHMAR35931,KARMALA TIMES,,108829.0,MAHMAR/2010/36272,AMAR VIJAY GADIYA,MAH,SOLAPUR,W
MAHMAR35350,AASIF TIMES,,109455.0,MAHMAR/2011/36898,AASIF SALIM SHAIKH,MAH,SOLAPUR,W
MAHMAR26441,CHHATRAPATI TIMES,,97671.0,MAHMAR/2004/25114,SAUDAGAR BALBHIM-,MAH,SOLAPUR,W
MAHMAR24139,AKKALKOT TIMES,,85749.0,MAHMAR/2003/13192,MAHIBOOB YUSUF PATHAN,MAH,SOLAPUR,W
MAHMAR48705,SHEKHAGAURI TIMES,,146741.0,MAHMAR/2017/74186,SHIVAJI KASHINATH NARUTE,MAH,SOLAPUR,W
MAHMAR05823,SANGOLA TIMES,,37572.0,37572/ 77,MARUTI SADHU MALI,MAH,SOLAPUR,W
MAHMAR52959,VADAR TIMES,,,,DEEPALI DEEPAK NANGARE,MAH,SOLAPUR,W
MAHMAR46582,MANGALWEDHA TIMES,,144803.0,MAHMAR/2016/72248,SAMADHAN ASHOK FUGARE,MAH,SOLAPUR,W
MAHMAR49596,MALSHIRAS TIMES,,,,SUJIT DIGAMBAR SATPUTE,MAH,SOLAPUR,W
MAHMAR43544,KARMYOGI TIMES,कर्मयोगी टाईम्‍स,127497.0,MAHMAR/2013/54942,SANJAY HARISHCHANDRA PAWAR,MAH,SOLAPUR,W
MAHMAR44874,PATIL TIMES,पाटील टाइम्स,138126.0,MAHMAR/2015/65571,NAVNATH RAGHUNATH PATIL,MAH,SOLAPUR,W
MAHMAR34164,JOSHABA TIMES,JOSHABA TIMES,103748.0,MAHMAR/2009/31191,SHRIKANT ROHIDAS KASBE,MAH,SOLAPUR,W
MAHMAR39848,CHANAKYA TIMES,चाणक्य टाइम्स,114133.0,MAHMAR/2011/41576,DHANANJAY DAGADU WAGHMODE,MAH,SOLAPUR,W
MAHMAR41247,VITHAI TIMES,,119307.0,MAHMAR/2012/46750,MAULI RAJABHU DANGE,MAH,SOLAPUR,W
MAHMAR41536,CHAUPAD TIMES,,125769.0,MAHMAR/2013/53214,YASHWANT SOPAN KOLEKAR,MAH,SOLAPUR,W
MAHMAR35686,KASHILINGESHWAR TIMES,कशीलिंगेश्वर टाइम्स,105506.0,MAHMAR/2010/32949,SAU. SAVITA MOHAN RATHOD,MAH,SOLAPUR,W
MAHMAR24839,NATE PUTE TIMES,,88881.0,MAHMAR/2004/16324,LATIB BABAN NADAF,MAH,SOLAPUR,W
MAHMAR50292,SIDDHANAGARI TIMES,,151954.0,MAHMAR/2020/79399,VIJAY RAJARAM VADANE,MAH,SOLAPUR,W
MAHMAR51561,SANKALP HINDU TIMES,,154116.0,MAHMAR/2021/81561,ANIKET NISHIKANT KULKARNI,MAH,SOLAPUR,W
MAHMAR51911,DHANGAR TIMES,,156811.0,MAHMAR/2022/84256,BAPU SANJAY MASAL,MAH,SOLAPUR,W
MAHKAN00183,BASAV TIMES,,145033.0,MAHKAN/2012/72478,REVANSIDHA ALIES BABURAO MANIKRAO GADMIRE,MAH,SOLAPUR,W
MAHMAR38934,BARLONI TIMES,,116440.0,MAHMAR/2012/43883,ATKAR ANKUSH DNYANDEV,MAH,SOLAPUR,W
MAHMAR40835,DANKA TIMES,,117590.0,MAHMAR/2012/45033,VISHVANATH VITTHAL VHANKORE,MAH,SOLAPUR,W
MAHMAR11921,SIDHESHWAR TIMES,,70197.0,70197/ 94,CHANDRASHEKHAR L.GAI,MAH,SOLAPUR,W
MAHMAR43209,MAHASATTA TIMES,,127048.0,MAHMAR/2013/54493,GANGADHAR DATTATRAY AHIRE,MAH,SOLAPUR,W
MAHMAR41707,TIMES OF VINAYAK,,120690.0,MAHMAR/2013/48134,AMOL YASHWANT AJABE,MAH,SOLAPUR,W
MAHMAR50654,YUG TIMES,,,,AMBIKA SHRINIWAS MADGUNDI,MAH,SOLAPUR,W
MAHMAR51542,MATA TULJABHAVANI TIMES,,,,RUSHIKESH BALIRAM DHERE,MAH,SOLAPUR,W
MAHMAR48846,DAMAJI TIMES,,146586.0,MAHMAR/2017/74031,VILAS EKNATH MASAL,MAH,SOLAPUR,W
MAHMAR40944,PANTNAGARI TIMES,,119306.0,MAHMAR/2012/46749,MADARSAB JAINUDDIN SAYYAD (MULANI),MAH,SOLAPUR,W
MAHMAR20279,REPORTER TIMES,रिपोर्टर टाइम्स,75331.0,MAHMAR/2000/02774,LIYAKAT RASUL BAGWAN,MAH,SOLAPUR,W
MAHMAR27062,JANSEVA TIMES,,88129.0,MAHMAR/2005/15572,SACHIN NETAJI HAJARE,MAH,SOLAPUR,W
MAHMAR35948,DEEPCHAND TIMES,दीपचंद टाइम्स,106582.0,MAHMAR/2010/34025,SATISH DEEPCHAND KHABE,MAH,SOLAPUR,W
MAHMAR38912,SHREE BIROBA TIMES,श्री बिरोबा टाइम्स,112262.0,MAHMAR/2011/39705,MADARSAB JAINUDDIN SAYYAD (MULANI),MAH,SOLAPUR,W
MAHMAR39309,LOKSEVA TIMES,,113121.0,MAHMAR/2011/40564,SUNIL BABURAO JAGTAP,MAH,SOLAPUR,W
MAHMAR45562,YOUNG INDIAN TIMES,,143939.0,MAHMAR/2016/71384,ADITYA ARJUN MUDGUL,MAH,SOLAPUR,W
MAHMAR45680,SAHAKAR TIMES,सहकार टाईम्स,135492.0,MAHMAR/2015/62937,SARAWALE GANESH KRISHNA,MAH,SOLAPUR,W
MAHMAR52076,VISHWADHARA TIMES,,159880.0,MAHMAR/2023/87325,APARNA SHRINIVAS KONDABATTINI,MAH,SOLAPUR,W
MAHMAR40374,RANYUG TIMES,,121982.0,MAHMAR/2013/49427,PRAMOD DILIP BINWADE,MAH,SOLAPUR,W
MAHMAR20131,MOGARA TIMES,,76015.0,MAHMAR/2000/03458,ISMAIL MUSA PATHAN,MAH,SOLAPUR,W
MAHMAR12116,BARSHI JANATA TIMES,,70980.0,70980/ 98,SURYAWANSHI SANTOSH ARVIND,MAH,SOLAPUR,W
MAHHIN07172,PANDOULA TIMES,,69413.0,69413/ 98,MAHOODSO GALABSO TAMBELI,MAH,SOLAPUR,W
MAHBIL10312,TEZ AAWAZ TIMES,,,,ABUHZAIFA ABDUL SALAM ANSARI,MAH,THANE,BM
MAHMAR42780,AMBARNATH TIMES,,123263.0,MAHMAR/2013/50708,KAMALAKAR NAGORAO SURYAVANSHI,MAH,THANE,D
MAHMAR45137,LOKDHARA TIMES,लोकधारा टाइम्स,132282.0,MAHMAR/2014/59727,PRADEEP RANGOJI JAGTAP,MAH,THANE,D
MAHMAR40570,LOK RAJA TIMES,,117811.0,MAHMAR/2012/45254,PRAVIN NANA MALAVI,MAH,THANE,D
MAHMAR23939,MAHARASHTRA BULAND TIMES,,89511.0,MAHMAR/2003/16954,SONI ASHOK,MAH,THANE,D
MAHBIL03278,SHARE BAZAR TIMES,,76354.0,MAHBIL/2000/03797,MADHYAM PRAKASHAN,MAH,THANE,D
MAHMAR40879,PRATISHTA THANE TIMES,,118991.0,MAHMAR/2012/46434,PRASHANT SATYAWAN KAMBLI,MAH,THANE,D
MAHHIN02472,KALYAN CLEAN TIMES,,73816.0,MAHHIN/2000/01259,SHAMIM F. AHMED,MAH,THANE,D
MAHHIN09176,CHARBHUJA TIMES,चारभुजा टाइम्स,130234.0,MAHHIN/2014/57679,HARI PRAKASH RAMDAYAL NEHARIA,MAH,THANE,D
MAHHIN09631,APRAHAN TIMES,अपराह्न टाइम्स,140187.0,MAHHIN/2016/67632,RAJESH RAJARAM YADAV,MAH,THANE,D
MAHMAR41745,TEJASWI TIMES,,121179.0,MAHMAR/2013/48624,PRASHANT SATYAWAN KAMBLI,MAH,THANE,D
MAHMAR44068,JILHA TIMES,जिल्हा टाईम्स,136987.0,MAHMAR/2015/64432,PRAMOD VITHAL DALVI,MAH,THANE,D
MAHHIN07660,SHIVDHAM TIMES,शिवधाम टाइम्स,104154.0,MAHHIN/2010/31597,DEEPAK SHAMDAS GIDWANI,MAH,THANE,F
MAHMAR51484,LOK PARSHURAM TIMES,,,,SHAHRUKH SULEMAN MULANI,MAH,THANE,F
MAHMAR48816,THE SAMRAS TIMES,द समरस टाईम्स,150167.0,MAHMAR/2017/77612,SANJAY G.MAKWANA,MAH,THANE,F
MAHBIL04976,REPUTE TIMES,रिपूट टाइम्स,93109.0,MAHBIL/2007/20552,MADHAV SUBBARAO,MAH,THANE,F
MAHMAR44381,KARTAVYA LOKHIT TIMES,कर्तव्य लोकहित टाइम्स,130303.0,MAHMAR/2014/57748,NANDU SAMPAT VARATE,MAH,THANE,F
MAHHIN03731,AGHOR TIMES,,76237.0,MAHHIN/2000/03680,AVADHOOT ALAKH RAM,MAH,THANE,F
MAHHIN09471,TRINETRA TIMES,त्रिनेत्र टाइम्स,134695.0,MAHHIN/2015/62140,VAHID FATEH ALI KHAN,MAH,THANE,F
MAHBIL06591,JANTA POLICE TIMES,,126455.0,MAHBIL/2013/53900,SHAMSHER JALIL ANSARI,MAH,THANE,F
MAHMAR10629,PALGHAR TIMES,,57127.0,57127/ 93,ASHOK NANA CHURI,MAH,THANE,F
