Title Code,Title Name (English),Hindi Title,Register Serial No,Regn. No,Owner Name,State,Publication City/District,Periodicity,title_en_clean,title_hi_clean,periodicity_tag,detected_lang_en,metaphone_code,soundex_code
KARKAN15351,RISALDAR TIMES,रिसालदार टाइम्स,89621.0,KARKAN/2005/17064,K.M.RISALDAR,KAR,BIJAPUR,W,risaldar times,रसलदर टइमस,U,en,RSLTR TMS,R243
KARKAN24760,VAIBHAVA TIMES,वैभव टाइम्स,138261.0,KARKAN/2015/65706,BALARAM SANGOPANTRAO PATIL,KAR,BIJAPUR,W,vaibhava times,वभव टइमस,U,en,FBHF TMS,V113
KARKAN27775,CHAMARAJA NAGAR TIMES,,,,REKHA E,KAR,CHAMARAJANAGAR,D,chamaraja nagar times,,U,en,XMRJ NKR TMS,C562
KARKAN28281,CHIKKAMAGALURU TIMES,,,,PRAJWAL B.B.,KAR,CHIKKAMAGALURU,D,chikkamagaluru times,,U,en,XKMKLR TMS,C252
KARKAN27518,SHIVANI TIMES,,,,RAVI B G,KAR,CHIKKAMAGALURU,W,shivani times,,U,en,XFN TMS,S153
KARKAN19743,MALNADU TIMES,MALNADU TIMES,105141.0,KARKAN/2009/32584,G.NAGENDRAPPA,KAR,CHIKKAMAGALURU,W,malnadu times,malnadu times,U,en,MLNT TMS,M453
KARKAN26869,CHITRADURGA TIMES,,151703.0,KARKAN/2020/79148,D.R SURENDRANATH,KAR,CHITRADURGA,D,chitradurga times,,U,en,XTRTRK TMS,C363
KARKAN24596,HIRIYUR TIMES,हीरीयूर टाइम्स,137338.0,KARKAN/2015/64783,H.C.RUDRAMUNI,KAR,CHITRADURGA,W,hiriyur times,हरयर टइमस,U,en,HRYR TMS,H663
KARENG00177,THE CANARA TIMES,,50354.0,50354/ 89,"B V SEETARAM,",KAR,DAKSHIN KANNADA/ MANGALURU,D,canara times,,U,en,KNR TMS,C563
KARKAN23897,KARAVALI TIMES,करावली टाइम्स,137828.0,KARKAN/2015/65273,MOHAMMAD ASHRAF P.,KAR,DAKSHINA KANNADA,F,karavali times,करवल टइमस,U,en,KRFL TMS,K614
KARBIL01691,COASTAL PROPERTY TIMES,,110116.0,KARBIL/2009/37559,ROHAN MONTEIRO,KAR,DAKSHINA KANNADA,M,coastal property times,,U,en,KSTL PRPRT TMS,C234
KARENG03781,THE COASTAL TIMES,दि कोस्टल टाइम्स,101570.0,KARENG/2009/29013,IQBAL KUTTAR,KAR,DAKSHINA KANNADA,M,coastal times,द कसटल टइमस,U,en,KSTL TMS,C234
KARENG03575,TIMES ASCENT,टाईम्स असेन्ट,96954.0,KARENG/2008/24397,"BENNETT, COLEMAN & CO.LTD",KAR,DAKSHINA KANNADA,W,times ascent,टईमस असनट,U,en,TMS ASSNT,T522
KARENG03882,THE TIMES OF MANGALORE,दि टाइम्स ऑफ़ मंगलौर,102636.0,KARENG/2009/30079,"BENNETT, COLEMAN & CO.LTD",KAR,DAKSHINA KANNADA (MANGALORE),F,times of mangalore,द टइमस ऑफ़ मगलर,U,en,TMS OF MNKLR,T521
KARKAN22850,HARIHARA TIMES,,120934.0,KARKAN/2013/48378,SUDHAKARA .H.,KAR,DAVANGERE,D,harihara times,,U,en,HRHR TMS,H663
KARKAN01007,DAVANGERE TIMES,,29774.0,29774/ 77,J.S. VEERESH,KAR,DAVANGERE,D,davangere times,,U,en,TFNJR TMS,D152
KARURD00627,INDO TIMES,,75780.0,KARURD/2000/03223,MD.TARIQ NAKAASH,KAR,DAVANGERE,W,indo times,,U,en,INT TMS,I533
KARKAN18698,MANJU TIMES,मंजू टाइम्स,100407.0,KARKAN/2009/27850,K.H. MANJESHI,KAR,DAVANGERE,W,manju times,मज टइमस,U,en,MNJ TMS,M523
KARKAN26199,HARAPANAHALLI TIMES,,145644.0,KARKAN/2017/73089,NEMAYA NAIK,KAR,DAVANGERE,W,harapanahalli times,,U,en,HRPNHL TMS,H615
KARBIL01523,SRUSHTI RAJ TIMES,सृष्‍टि‍ राज टाईम्‍स,95387.0,KARBIL/2007/22830,SRUSHATI RAJ ENTERPRISES (INDIA) LTD.,KAR,DHARWAD,D,srushti raj times,सषट रज टईमस,U,en,SRXT RJ TMS,S623
KARENG04433,HUBLI TIMES OF INDIA,हुबली टाइम्स ऑफ़ इंडिया,124100.0,KARENG/2013/51545,"BENNETT, COLEMAN & CO.LTD",KAR,DHARWAD,DS,hubli times of,हबल टइमस ऑफ़ इडय,U,en,HBL TMS OF,H143
KARBIL00130,FAMILY PLANNING NEW TIMES,,27375.0,27375/ 75,FAMILY PANNING NEW TIMES,KAR,DHARWAD,F,family planning new times,,U,en,FML PLNNK N TMS,F541
KARKAN21346,SAI KRUSHI TIMES,,115847.0,KARKAN/2012/43290,NARAYAN L. NIRANJAN,KAR,DHARWAD,M,sai krushi times,,U,en,S KRX TMS,S262
KARKAN07247,COMMERCIAL TIMES,,58233.0,58233/ 93,R.G.MUGALI,KAR,DHARWAD/ HUBLI,F,commercial times,,U,en,KMRXL TMS,C562
KARBIL01055,GRAPHIC TIMES,,74727.0,KARBIL/2000/02170,ASHOK M JAIN,KAR,DHARWAD/ HUBLI,M,graphic times,,U,en,KRFK TMS,G612
KARENG04551,SAHASRARJUN SOMUVANSH KSHATRIYA TIMES,,130165.0,KARENG/2014/57610,DEEPAK M. KALBURGI,KAR,GADAG,M,sahasrarjun somuvansh kshatriya times,,U,en,SHSRRJN SMFNX KXTRY TMS,S266
KARKAN00589,BHAVASAR TIMES,,19989.0,19989/ 70,P.R. HAMCHATE,KAR,GADAG,M,bhavasar times,,U,en,BHFSR TMS,B126
KARKAN25168,TIMES OF PUBLIC,,141523.0,KARKAN/2016/68968,DHARMAPPA A. ITAGI,KAR,GADAG,M,times of public,,U,en,TMS OF PBLK,T521
KARKAN28106,THE FRIDAY TIMES,,,UR,KHRUSHEED AHMED F DHALAYAT,KAR,GADAG,W,friday times,,U,en,FRT TMS,F633
KARURD00748,KBN TIMES,के. बी. एन. टाईम्स,96174.0,KARURD/2007/23617,SYED SHAH TAQIULLAH HUSSAINI,KAR,GULBARGA,D,kbn times,क ब एन टईमस,U,en,KBN TMS,K153
KARENG03334,VIJAY TIMES,विजय करनतक,89890.0,KARENG/2005/17333,"VIJAYANAND PRINTERS LTD,",KAR,HASSAN,D,vijay times,वजय करनतक,U,en,FJ TMS,V235
KARENG03335,SUNDAY VIJAY TIMES,शंडे विजय करनतक,89886.0,KARENG/2005/17329,"VIJAYANAND PRINTERS LTD,",KAR,HASSAN,W,sunday vijay times,शड वजय करनतक,U,en,SNT FJ TMS,S531
KARKAN22646,HASSAN TIMES,,121107.0,KARKAN/2012/48552,JAYARAM P.,KAR,HASSAN,W,hassan times,,U,en,HSN TMS,H253
KARKAN27085,TIMES OF HAVERI,,,,MANTESH BANGI,KAR,HAVERI,D,times of haveri,,U,en,TMS OF HFR,T521
KARENG04432,BELGAUM TIMES OF INDIA,बेलगाम टाइम्स ऑफ़ इंडिया,124099.0,KARENG/2013/51544,"BENNETT, COLEMAN & CO.LTD",KAR,HUBLI,DS,belgaum times of,बलगम टइमस ऑफ़ इडय,U,en,BLKM TMS OF,B425
KARKAN09140,JANATA TIMES,जनता टाइम्स,68739.0,68739/ 96,SHARANABASAPPA,KAR,KALABURAGI,D,janata times,जनत टइमस,U,en,JNT TMS,J533
KARURD00105,GULBARGA TIMES,,20040.0,20040/ 70,SYED ABDUL GAFFAR JAMHOOR,KAR,KALABURAGI,W,gulbarga times,,U,en,KLBRK TMS,G416
KARKAN24337,CAUVERY TIMES,,147614.0,KARKAN/2016/75059,BOLLAJIRA AIYAPPA,KAR,KODAGU,D,cauvery times,,U,en,KFR TMS,C163
KARKAN25625,THE TIMES OF KOLAR,,147615.0,KARKAN/2018/75060,GOPINATH V N,KAR,KOLAR,D,times of kolar,,U,en,TMS OF KLR,T521
KARKAN28709,SHAHEEN TIMES,,,,MOHAMMED AKHIL UDEVU,KAR,KOPPAL,D,shaheen times,,U,en,XHN TMS,S535
KARKAN27830,RAJADHANI TIMES,,,,NAGARAJ S/O GAVISIDDAPPA BELLAD,KAR,KOPPAL,D,rajadhani times,,U,en,RJTHN TMS,R235
KARKAN26776,KOPPALA TIMES,,150729.0,KARKAN/2019/78174,VEERANNA KALLIMANI,KAR,KOPPAL,D,koppala times,,U,en,KPL TMS,K143
KARKAN20635,ANMOL TIMES,,107850.0,KARKAN/2010/35293,M.A. WALISAHEB,KAR,KOPPAL,D,anmol times,,U,en,ANML TMS,A543
KARKAN27716,MANDYA TIMES,,153822.0,KARKAN/2021/81267,KUMARASWAMY SM,KAR,MANDYA,W,mandya times,,U,en,MNTY TMS,M533
KARENG03672,THE TIMES OF INDIA,द टाइम्स ऑफ इंडिया,95372.0,KARENG/2004/22815,"BENNETT, COLEMAN & CO.LTD",KAR,MANGALORE,DS,times of,द टइमस ऑफ इडय,U,en,TMS OF,T521
KARENG04347,MANGALORE TIMES,,118940.0,KARENG/2012/46383,"BENNETT, COLEMAN & CO.LTD",KAR,MANGALORE,THW,mangalore times,,U,en,MNKLR TMS,M524
KARTUL00017,TIMES OF KUDLA,,124629.0,KARTUL/2013/52074,SHASHIRAJ,KAR,MANGALORE,W,times of kudla,,U,en,TMS OF KTL,T521
KARKAN23002,TIMES OF BEDRA,,125611.0,KARKAN/2013/53056,JAISON MARSHAL SOARES,KAR,MANGALORE,W,times of bedra,,U,en,TMS OF BTR,T521
KARENG04456,MYSORE TIMES OF INDIA,मैसूर टाइम्स ऑफ़ इंडिया,125310.0,KARENG/2013/52755,"BENNETT, COLEMAN & CO.LTD",KAR,MYSORE,THW,mysore times of,मसर टइमस ऑफ़ इडय,U,en,MSR TMS OF,M263
KARENG03738,THE SUNDAY TIMES OF INDIA,द सन्डे टाइम्स ऑफ इण्डिया,96148.0,KARENG/2005/23591,"BENNETT, COLEMAN & CO.LTD",KAR,MYSORE,W,sunday times of,द सनड टइमस ऑफ इणडय,U,en,SNT TMS OF,S533
KARKAN26742,TIMES OF NANJANGUDU,,,,"M,S.SATYANARAYANA",KAR,MYSURU,D,times of nanjangudu,,U,en,TMS OF NNJNKT,T521
KARBIL02262,HUMOUR TIMES,,149969.0,KARBIL/2018/77414,MUKTA KHANDELWAL GUPTA,KAR,MYSURU,M,humour times,,U,en,HMR TMS,H563
KARENG04828,EDEXCEL TIMES,,143965.0,KARENG/2017/71410,AYUB KHAN,KAR,MYSURU,W,edexcel times,,U,en,ETKSSL TMS,E324
KARURD00892,MUNAWWAR TIMES,,,,MOHAMMED FAIYAZ AHMED,KAR,RAICHUR,D,munawwar times,,U,en,MNWR TMS,M563
KARKAN16798,ESHANYA TIMES,इशान्‍या टाईम्‍स,95236.0,KARKAN/2006/22679,N. NAGARAJA,KAR,RAICHUR,D,eshanya times,इशनय टईमस,U,en,EXNY TMS,E253
KARKAN26694,JANABALA TIMES,,151184.0,KARKAN/2019/78629,AMBANNA AROLIKAR,KAR,RAICHUR,D,janabala times,,U,en,JNBL TMS,J514
KARURD00880,MEEZAN TIMES,,,,ANWAR WAHEED,KAR,RAICHUR,D,meezan times,,U,en,MSN TMS,M253
KARKAN22272,TIMES OF RAICHUR,,124824.0,KARKAN/2013/52269,PAMPAYYA MATH,KAR,RAICHUR,F,times of raichur,,U,en,TMS OF RXR,T521
KARKAN28654,ADITHYA TIMES,,,,NAGARATHNA.V,KAR,RAMANAGARA,D,adithya times,,U,en,AT0Y TMS,A333
KARKAN03775,RAMANAGARAM TIMES,,58107.0,58107/ 88,PRAKASHA M.H,KAR,RAMANAGARA,W,ramanagaram times,,U,en,RMNKRM TMS,R552
KARKAN16866,ARKAVATHY TIMES,अर्कावथी टाईम्स,97701.0,KARKAN/2006/25144,M.C. GIRISH,KAR,RAMANAGARA,W,arkavathy times,अरकवथ टईमस,U,en,ARKF0 TMS,A621
KARKAN26960,CHANNAPATNA TIMES,,151648.0,KARKAN/2020/79093,L VARADARAJU,KAR,RAMANAGARA,W,channapatna times,,U,en,XNPTN TMS,C513
KARKAN24583,KIRANA TIMES,किराना टाइम्स,132871.0,KARKAN/2015/60316,K.RUDRESHA,KAR,RAMANAGARAM,D,kirana times,करन टइमस,U,en,KRN TMS,K653
KARKAN21421,TIMES OF DEENABANDU,,115177.0,KARKAN/2011/42620,B. ROOPA,KAR,SHIMOGA,F,times of deenabandu,,U,en,TMS OF TNBNT,T521
KARKAN22428,KANNADA TIMES,,118700.0,KARKAN/2012/46143,CHINMAYA M RAO,KAR,SHIMOGA,Q,kannada times,,U,en,KNT TMS,K533
KARKAN11152,SHIMOGA TIMES,,27240.0,27240/ 74,S. CHANDRAKANTH,KAR,SHIVAMOGGA,D,shimoga times,,U,en,XMK TMS,S523
KARKAN28121,STEEL TOWN TIMES,,159470.0,KARKAN/2023/86915,B RAMESH,KAR,SHIVAMOGGA,F,steel town times,,U,en,STL TN TMS,S343
KARKAN27586,TIMES OF SAGAR,,158116.0,KARKAN/2021/85561,IMRAN,KAR,SHIVAMOGGA,W,times of sagar,,U,en,TMS OF SKR,T521
KARKAN28489,DASHA TIMES,,,UR,DASHARATHA,KAR,TUMAKURU,D,dasha times,,U,en,TX TMS,D235
KARKAN19202,MADHOGIRI TIMES,,45567.0,45567/ 88,P M UMESH,KAR,TUMAKURU,M,madhogiri times,,U,en,MTHJR TMS,M326
KARKAN04902,TUMKUR TIMES,,22524.0,22524/ 72,C N BHASKARAPPA,KAR,TUMAKURU,W,tumkur times,,U,en,TMKR TMS,T526
KARKAN22843,TURUVEKERE TIMES,,129447.0,KARKAN/2013/56892,GIRISH K.,KAR,TUMKUR,W,turuvekere times,,U,en,TRFKR TMS,T612
KARKAN27430,SWADESHI TIMES,,158118.0,UR,GANESH K,KAR,UDUPI,NDO,swadeshi times,,U,en,SWTX TMS,S323
KARKAN27212,KOOJALLI TIMES,,,,N.P.PRAJOT,KAR,UTTARA KANNADA,M,koojalli times,,U,en,KJL TMS,K243
KARKAN27883,KARWAR TIMES,,154953.0,KARKAN/2022/82398,RAGHAVENDRA SUBRAY NAIK,KAR,UTTARA KANNADA,W,karwar times,,U,en,KRWR TMS,K663
KARKAN28143,VIJAYANAGARA TIMES,,160643.0,KARKAN/2023/88088,VEERESHWARA .M.B,KAR,VIJAYANAGARA,D,vijayanagara times,,U,en,FJYNKR TMS,V252
KARKAN16973,MUDDEBIHAL TIMES,HFG,91461.0,KARKAN/2006/18904,K.M. RISALDAR,KAR,VIJAYAPURA,D,muddebihal times,hfg,U,en,MTBHL TMS,M314
KARKAN20683,AKASH TIMES,आकाश टाइम्स,106197.0,KARKAN/2010/33640,UMESH KALINGAPPA AKASHI,KAR,VIJAYAPURA,F,akash times,आकश टइमस,U,en,AKX TMS,A223
KARKAN25786,SHAHNOOR QUADRIYA TIMES,,141987.0,KARKAN/2016/69432,SAYED RAHIMAN QUADRI INAMDAR,KAR,VIJAYAPURA,F,shahnoor quadriya times,,U,en,XNR KTRY TMS,S562
KARKAN17382,VALLYAPUR TIMES,वलयापुर टाईम्‍स,93548.0,KARKAN/2007/20991,DR. RAVI (RAJESH) Y. VALLYAPUR,KAR,VIJAYAPURA,F,vallyapur times,वलयपर टईमस,U,en,FLYPR TMS,V416
KARKAN18347,BENAK TIMES,बेनाक टाईम्स,95976.0,KARKAN/2008/23419,SAYABANNA SIDDAPPA BENAKANAHALLI,KAR,VIJAYAPURA,M,benak times,बनक टईमस,U,en,BNK TMS,B523
KARKAN17236,TALIKOTI TIMES,TT,91731.0,KARKAN/2007/19174,PRAVEEN G. GHORPADE,KAR,VIJAYAPURA,W,talikoti times,tt,U,en,TLKT TMS,T423
KARKAN18176,BIJAPUR TIMES,बीजापुर टाईम्स,95644.0,KARKAN/2008/23087,MIRMAHAMMADAYAJ HUSENSAB ROJEWALE,KAR,VIJAYAPURA,W,bijapur times,बजपर टईमस,U,en,BJPR TMS,B216
KARKAN24070,YADGIRI TIMES,,145820.0,KARKAN/2016/73265,ARUNA KUMARI,KAR,YADGIRI,D,yadgiri times,,U,en,YJR TMS,Y326
KERMAL13054,JEWEL TIMES,ज्वेल टाइम्स,96584.0,KERMAL/2008/24027,GOLD & SILVER MERCHANTS' ASSOCIATION,KER,ALAPPUZHA,F,jewel times,जवल टइमस,U,en,JWL TMS,J435
KERBIL02216,CHRISTIAN TIMES,,29359.0,29359/ 76,P K KURIAN,KER,ALAPPUZHA,F,christian times,,U,en,XRSXN TMS,C623
KERMUL00620,THE TIMES OF LITARARY QUIZ,,,,KUTTANPILLAI SASIDHARAN,KER,ALAPPUZHA,M,times of litarary quiz,,U,en,TMS OF LTRR KS,T521
KERMAL06300,ISLAMIC TIMES,,7976.0,7976/ 66,P MUHAMMED ALI MOULAVI,KER,ALAPPUZHA,M,islamic times,,U,en,ISLMK TMS,I245
KERMAL07969,FULL GOSPET TIMES,,61741.0,61741/ 95,K.G.RAJU,KER,ALAPPUZHA,TWW,full gospet times,,U,en,FL KSPT TMS,F422
KERMAL10098,FRIDAY TIMES,,77325.0,KERMAL2001/04768,A.M.M.RAHMATHULLA,KER,ALAPPUZHA,W,friday times,,U,en,FRT TMS,F633
KERMAL10190,SNEHA TIMES,,77178.0,KERMAL/2001/04621,SHEENA SADASIVAN,KER,ERNAKULAM,A,sneha times,,U,en,SNH TMS,S535
KERMAL00430,BIS TIMES,,44751.0,44751/ 90,K G VADHYAR,KER,ERNAKULAM,D,bis times,,U,en,BS TMS,B235
KERENG02298,TRIVANDRUM TIMES OF INDIA,त्रिवेंद्रम टाइम्स ऑफ़ इंडिया,118388.0,KERENG/2012/45831,"BENNETT, COLEMAN & CO.LTD",KER,ERNAKULAM,D,trivandrum times of,तरवदरम टइमस ऑफ़ इडय,U,en,TRFNTRM TMS OF,T615
KERMAL00582,KERALA TIMES,केरला टाइम्स,3090.0,3090/ 57,THE KERALA CULTURAL SOCIETY LTD.,KER,ERNAKULAM,D,kerala times,करल टइमस,U,en,KRL TMS,K643
KERENG02526,ORIENT TIMES,,5877.0,5877/ 62,DARIS S. LUIS,KER,ERNAKULAM,D,orient times,,U,en,ORNT TMS,O653
KERMAL15786,STERLING TIMES,,143571.0,KERMAL/2016/71016,STERLING PRINT HOUSE(P).LTD,KER,ERNAKULAM,D,sterling times,,U,en,STRLNK TMS,S364
KERENG00624,SHIPPING TIMES,,29603.0,29603/ 79,NIKHIL N MODI,KER,ERNAKULAM,D,shipping times,,U,en,XPNK TMS,S152
KERENG02290,KOCHI TIMES,,118484.0,KERENG/2012/45927,"BENNETT, COLEMAN & CO.LTD",KER,ERNAKULAM,D,kochi times,,U,en,KX TMS,K235
KERMAL14671,JEEVAN TIMES,,112952.0,KERMAL/2011/40395,BABY MATHEW,KER,ERNAKULAM,F,jeevan times,,U,en,JFN TMS,J153
KERENG02033,THE TIMES OF ISLAND,,96900.0,KERENG/2007/24343,K.N. MUKUNDA PANICKAR,KER,ERNAKULAM,M,times of island,,U,en,TMS OF ISLNT,T521
KERMAL14761,INFINITY TIMES,इनफिनिटी टाइम्स,125088.0,KERMAL/2012/52533,V.V. DOMINIC,KER,ERNAKULAM,M,infinity times,इनफनट टइमस,U,en,INFNT TMS,I515
KERENG01324,NARCOTICS LAW TIMES,,55171.0,55171/ 94,NOT GIVEN,KER,ERNAKULAM,M,narcotics law times,,U,en,NRKTKS L TMS,N623
KERENG02340,UNIQUE TIMES,,115190.0,KERENG/2011/42633,AJIT RAVI,KER,ERNAKULAM,M,unique times,,U,en,UNK TMS,U523
KERMAL14589,GILAYADU TIMES,,118787.0,KERMAL/2011/46230,FR. ALIAS JOHN,KER,ERNAKULAM,Q,gilayadu times,,U,en,JLYT TMS,G433
KERENG02299,MALABAR TIMES,,118427.0,KERENG/2012/45870,BENNETT COLEMAN & CO. LTD.,KER,ERNAKULAM,THW,malabar times,,U,en,MLBR TMS,M416
KERMAL07028,JOBTIMES,,55119.0,55119/ 92,WILSON VADACKHUMCHERY,KER,ERNAKULAM,TWW,jobtimes,,U,en,JBTMS,J135
KERMAL09146,JAMA ATH TIMES,,7909.0,7909/ 65,SHRI K.H SULAIMAN,KER,ERNAKULAM,W,jama ath times,,U,en,JM A0 TMS,J533
KERMAL12429,KERALA MIDDAY TIMES,,88419.0,KERMAL/2005/15862,SABU THOMAS VADAKEKUT,KER,ERNAKULAM/ KOCHI,D,kerala midday times,,U,en,KRL MT TMS,K645
KERMAL01316,EZHIKKARA TIMES,,44574.0,44574/ 86,K N MUKUNDAPANICKAR,KER,ERNAKULAM/ KOCHI,D,ezhikkara times,,U,en,ESHKR TMS,E226
KERMAL08766,TIMES ADS,,70820.0,70820/ 98,E.S.JOSE,KER,ERNAKULAM/ KOCHI,W,times ads,,U,en,TMS ATS,T523
KERMAL00644,CANNANORE TIMES,,24969.0,24969/ 74,K V K NAIR,KER,KANNUR,D,cannanore times,,U,en,KNNR TMS,C556
KERMAL03694,PAYYANUR TIMES,,44735.0,44735/ 89,VALASMMA RAJ,KER,KANNUR,D,payyanur times,,U,en,PYNR TMS,P563
KERBIL01007,KARATE TIMES,,63264.0,63264/ 94,K.V.MANOHARAN,KER,KANNUR,M,karate times,,U,en,KRT TMS,K633
KERENG02561,MAINLAND TIMES,,147892.0,KERENG/2018/75337,PRAMOD KUMAR C V,KER,KANNUR,M,mainland times,,U,en,MNLNT TMS,M545
KERENG02427,COCONUT TIMES,,131759.0,KERENG/2014/59204,SIVAKUMAR V.,KER,KASARAGOD,D,coconut times,,U,en,KKNT TMS,C253
KERENG00359,KERALA LAW TIMES,केरला लॉ टाइम्स,3057.0,3057/ 57,KERALA LAW TIMES,KER,KOCHI,W,kerala law times,करल ल टइमस,U,en,KRL L TMS,K644
KERBIL00163,THE FISHING TIMES,,27422.0,27422/ 75,M PUIS FERNANDEZ,KER,KOLLAM,M,fishing times,,U,en,FXNK TMS,F252
KERMAL12566,HAVIOS TIMES,हेवियस टाइम्स,90476.0,KERMAL/2006/17919,TITUS SAMUEL S.,KER,KOLLAM,M,havios times,हवयस टइमस,U,en,HFS TMS,H123
KERENG00527,PLEASANT TIMES,,35967.0,35967/ 79,MABLE VARIATH,KER,KOLLAM,M,pleasant times,,U,en,PLSNT TMS,P425
KERMAL16005,PUNALUR TIMES,,148318.0,KERMAL/2018/75763,MUHAMMED SHAFI P,KER,KOLLAM,W,punalur times,,U,en,PNLR TMS,P546
KERMAL02486,KOTTAYAM TIMES,,27463.0,27463/ 75,A C CHACKO,KER,KOTTAYAM,D,kottayam times,,U,en,KTYM TMS,K353
KERMAL02544,KUTTANAD TIMES,,29487.0,29487/ 78,K B PILLAI,KER,KOTTAYAM,D,kuttanad times,,U,en,KTNT TMS,K353
KERMAL11011,ANICKAD TIMES,,84772.0,KERMAL/2003/12215,"MG.DIR.,THE ANICKAD",KER,KOTTAYAM,F,anickad times,,U,en,ANKT TMS,A523
KERMUL00622,JOYFUL LIVING TIMES,,,,PRAKASH ANAND,KER,KOTTAYAM,M,joyful living times,,U,en,JFL LFNK TMS,J144
KERMAL15733,VAIGA TIMES,वैगा टाइम्स,138073.0,KERMAL/2015/65518,K.S.REMESH,KER,KOTTAYAM,M,vaiga times,वग टइमस,U,en,FK TMS,V235
KERMAL15686,MARIYAN TIMES,मारियन टाइम्स,137978.0,KERMAL/2015/65423,TWINKLE MARTIN,KER,KOTTAYAM,M,mariyan times,मरयन टइमस,U,en,MRYN TMS,M653
KERMAL14634,PALA TIMES,,114318.0,KERMAL/2012/41761,EBY J. JOSE,KER,KOTTAYAM,Q,pala times,,U,en,PL TMS,P435
KERMAL14857,BABIL TIMES,,121440.0,KERMAL/2012/48885,VARGHESE ULAHANNAN,KER,KOTTAYAM,Q,babil times,,U,en,BBL TMS,B143
KERMAL00637,CALICUT TIMES,,29544.0,29544/ 79,M. JOY VARGHESE,KER,KOZHIKODE,D,calicut times,,U,en,KLKT TMS,C423
KERMAL12409,CHALIYAR TIMES,,89047.0,KERMAL/2006/16490,SATHEESH PONNAMPARAMBATH,KER,KOZHIKODE,F,chaliyar times,,U,en,XLYR TMS,C463
KERMAL06331,MANAPPURAM TIMES,,5841.0,5841/ 61,V S KARALEEYAN,KER,KOZHIKODE,M,manappuram times,,U,en,MNPRM TMS,M516
KERMAL02054,KADATHANAD TIMES,,7815.0,7815/ 65,NANU MAYYANNUR,KER,KOZHIKODE,M,kadathanad times,,U,en,KT0NT TMS,K335
KERENG02388,SHALOM TIMES,,120203.0,KERENG/2012/47646,SHALOM TRUST,KER,KOZHIKODE,M,shalom times,,U,en,XLM TMS,S453
KERMAL14756,THEKKEPURAM TIMES,,120569.0,KERMAL/2011/48013,SALEEM C.A.,KER,KOZHIKODE,M,thekkepuram times,,U,en,0KPRM TMS,T216
KERMAL15750,SOPHIA TIMES,,147572.0,KERMAL/2017/75017,SOPHIA PRINTERS AND PUBLISHERS PVT.LTD,KER,KOZHIKODE,M,sophia times,,U,en,SF TMS,S135
KERMAL04407,SUNNY TIMES,,7908.0,7908/ 64,"SAMASTHA KERALA, SUNNY YUVAJANA",KER,KOZHIKODE,W,sunny times,,U,en,SN TMS,S535
KERMAL09189,MALAPPURAM TIMES,,24763.0,24763/ 72,P K ALANI KUTTY,KER,MALAPPURAM,D,malappuram times,,U,en,MLPRM TMS,M416
KERMAL16387,PONNANI TIMES,,,,ABDUL NAZAR KARUPPAM VEETTIL,KER,MALAPPURAM,DE,ponnani times,,U,en,PNN TMS,P553
KERMAL13580,ALATHUR TIMES,,98255.0,KERMAL/2007/25698,A. RAMACHANDRAN,KER,PALAKKAD,D,alathur times,,U,en,AL0R TMS,A436
KERMAL14794,PALAKKAD TIMES,,118560.0,KERMAL/2012/46003,ABUBACKAR K.S,KER,PALAKKAD,D,palakkad times,,U,en,PLKT TMS,P423
KERMAL16166,JANAPRAKASAM TIMES,,149623.0,KERMAL/2019/77068,JANAPRAKASAM CHARITABLE TRUST,KER,PALAKKAD,M,janaprakasam times,,U,en,JNPRKSM TMS,J516
KERMAL16423,VALLUVANAD TIMES,,,,MANOJKUMAR Y.N,KER,PALAKKAD,NDO,valluvanad times,,U,en,FLFNT TMS,V415
KERMAL16376,GOSPEL TIMES,,,UR,GIRIJAKUMARI A,KER,THIRUVANANTHAPURAM,BM,gospel times,,U,en,KSPL TMS,G214
KERMAL11063,TRIVANDRUM TIMES,,85052.0,KERMAL/2003/12495,THOMAS KAITHAPARAMBIL,KER,THIRUVANANTHAPURAM,D,trivandrum times,,U,en,TRFNTRM TMS,T615
KERMAL05392,TRAVANCORE TIMES,,44756.0,44756/ 90,P S BHAGILALROY,KER,THIRUVANANTHAPURAM,D,travancore times,,U,en,TRFNKR TMS,T615
KERBIL02276,NAUTICAL TIMES KERALA,,149946.0,KERBIL/2018/77391,YESUDAS WILLIAM,KER,THIRUVANANTHAPURAM,D,nautical times kerala,,U,en,NTKL TMS KRL,N324
KERMAL10154,ANANTHAPURI TIMES,,77884.0,KERMAL/2001/05327,ANISH J.KARINAD,KER,THIRUVANANTHAPURAM,M,ananthapuri times,,U,en,ANN0PR TMS,A553
KERMAL13296,JOE TIMES,जो टाइम्‍स,94861.0,KERMAL/2007/22304,L. JOHN,KER,THIRUVANANTHAPURAM,M,joe times,ज टइमस,U,en,J TMS,J352
KERMAL05359,TIMES OF TRICHUR,,28170.0,28170/ 76,M. G. NATH,KER,THRISSUR,D,times of trichur,,U,en,TMS OF TRXR,T521
KERBIL01028,NEW INDIA TIMES,,66926.0,66926/ 96,THOLOOR SASIDHARAN,KER,THRISSUR,M,new times,,U,en,N TMS,N352
KERMAL06510,REVIVAL TIMES,,44799.0,44799/ 91,MRS. ANNAMMA GEORGE,KER,THRISSUR,M,revival times,,U,en,RFFL TMS,R114
